                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0018,                0.43782,                  1.059,                0.96265,                0.94638,                0.97053,                0.69571,                0.97471,                0.39828,                 1.0886,                0.00307,                0.00307,                0.00307
                     72,                 1.0062,                0.44231,                 1.0598,                0.96254,                 0.9459,                0.97038,                0.69598,                0.97502,                0.39926,                 1.0883,               0.002971,               0.002971,               0.002971
                     73,                0.99221,                  0.436,                  1.054,                0.96379,                0.94541,                0.97062,                 0.6964,                0.97405,                0.39935,                 1.0885,               0.002872,               0.002872,               0.002872
                     74,                0.99868,                0.43549,                 1.0572,                0.96499,                0.94642,                0.97075,                0.69596,                0.97497,                0.39764,                 1.0898,               0.002773,               0.002773,               0.002773
                     75,                0.99672,                0.43718,                 1.0556,                0.96526,                0.94683,                0.97141,                0.69711,                0.97397,                0.39656,                   1.09,               0.002674,               0.002674,               0.002674
                     76,                0.99089,                0.43121,                  1.051,                0.96508,                0.94636,                 0.9715,                0.69757,                0.97333,                0.39592,                 1.0886,               0.002575,               0.002575,               0.002575
                     77,                0.99488,                0.43214,                 1.0581,                0.96436,                0.94621,                0.97121,                0.69772,                0.97238,                 0.3963,                 1.0876,               0.002476,               0.002476,               0.002476
                     78,                0.98834,                0.43132,                 1.0514,                0.96495,                0.94606,                0.97091,                0.69802,                0.97201,                0.39603,                 1.0868,               0.002377,               0.002377,               0.002377
                     79,                0.98923,                0.42833,                 1.0526,                0.96401,                0.94668,                0.97083,                0.69782,                0.97104,                0.39492,                  1.087,               0.002278,               0.002278,               0.002278
                     80,                0.99165,                0.42973,                 1.0518,                 0.9644,                0.94674,                0.97138,                0.69897,                0.97221,                0.39464,                 1.0872,               0.002179,               0.002179,               0.002179
                     81,                0.98566,                0.42902,                  1.051,                0.96414,                0.94712,                 0.9712,                0.69869,                0.97285,                0.39482,                  1.087,                0.00208,                0.00208,                0.00208
                     82,                0.99294,                0.42971,                 1.0533,                0.96425,                0.94791,                0.97141,                0.69904,                0.97201,                0.39474,                 1.0872,               0.001981,               0.001981,               0.001981
                     83,                0.98863,                0.42488,                 1.0513,                 0.9633,                0.94822,                0.97119,                0.69908,                0.97239,                0.39402,                 1.0876,               0.001882,               0.001882,               0.001882
                     84,                0.98099,                0.42391,                 1.0503,                0.96413,                0.94826,                 0.9719,                0.69965,                0.97201,                0.39367,                 1.0865,               0.001783,               0.001783,               0.001783
                     85,                0.98195,                0.42158,                 1.0565,                0.96381,                0.94834,                0.97207,                0.69972,                0.97101,                0.39272,                 1.0858,               0.001684,               0.001684,               0.001684
                     86,                0.98828,                0.42381,                 1.0494,                0.96476,                0.94754,                0.97229,                0.70059,                0.97074,                0.39301,                 1.0859,               0.001585,               0.001585,               0.001585
                     87,                0.97853,                0.42145,                 1.0467,                0.96437,                0.94765,                0.97195,                0.70095,                0.97037,                0.39296,                 1.0854,               0.001486,               0.001486,               0.001486
                     88,                0.98591,                0.42228,                 1.0509,                0.96386,                0.94833,                 0.9721,                 0.7003,                0.97118,                0.39191,                 1.0855,               0.001387,               0.001387,               0.001387
                     89,                0.97263,                0.41737,                 1.0487,                0.96499,                0.94712,                0.97177,                0.70038,                0.97005,                0.39147,                 1.0853,               0.001288,               0.001288,               0.001288
                     90,                0.97405,                0.41485,                 1.0764,                 0.9647,                0.94667,                0.97177,                0.70089,                0.96962,                0.39272,                 1.0851,               0.001189,               0.001189,               0.001189
                     91,                0.96371,                0.40902,                 1.0668,                0.96511,                0.94654,                0.97187,                 0.7007,                0.97014,                0.39337,                 1.0852,                0.00109,                0.00109,                0.00109
                     92,                0.96265,                0.40731,                 1.0621,                0.96513,                 0.9458,                0.97161,                0.70035,                0.97031,                0.39344,                 1.0849,               0.000991,               0.000991,               0.000991
                     93,                0.96241,                0.40853,                 1.0709,                0.96466,                0.94655,                0.97148,                0.70016,                0.97028,                0.39339,                 1.0851,               0.000892,               0.000892,               0.000892
                     94,                0.96623,                0.40523,                 1.0708,                 0.9649,                0.94686,                 0.9713,                0.70003,                0.96972,                0.39307,                 1.0859,               0.000793,               0.000793,               0.000793
                     95,                0.95629,                0.40349,                 1.0638,                0.96525,                0.94627,                0.97126,                 0.7003,                0.96913,                0.39294,                 1.0858,               0.000694,               0.000694,               0.000694
                     96,                0.95772,                0.40083,                 1.0627,                0.96557,                 0.9464,                0.97129,                0.70069,                0.96869,                0.39206,                 1.0861,               0.000595,               0.000595,               0.000595
                     97,                0.95261,                0.40022,                 1.0611,                0.96554,                0.94628,                 0.9713,                0.70079,                0.96901,                0.39184,                 1.0861,               0.000496,               0.000496,               0.000496
